Trump	2016-08-08T15:20:44Z	My economic policy speech will be carried live at 12:15 P.M. Enjoy!
Staff	2016-08-08T13:28:20Z	Join me in Fayetteville, North Carolina tomorrow evening at 6pm. Tickets now available at: https://t.co/Z80d4MYIg8
Staff	2016-08-08T00:05:54Z	"#ICYMI: ""Will Media Apologize to Trump?"" https://t.co/ia7rKBmioA"
Trump	2016-08-07T23:09:08Z	Michael Morell, the lightweight former Acting Director of C.I.A., and a man who has made serious bad calls, is a total Clinton flunky!
Trump	2016-08-07T21:31:46Z	"The media is going crazy. They totally distort so many things on purpose. Crimea, nuclear, ""the baby"" and so much more. Very dishonest!"
Trump	2016-08-07T13:49:29Z	I see where Mayor Stephanie Rawlings-Blake of Baltimore is pushing Crooked hard. Look at the job she has done in Baltimore. She is a joke!
Staff	2016-08-07T02:19:37Z	Thank you Windham, New Hampshire! #TrumpPence16 #MAGA https://t.co/ZL4Q01Q49s
Trump	2016-08-07T01:53:45Z	I am not just running against Crooked Hillary Clinton, I am running against the very dishonest and totally biased media - but I will win!
Staff	2016-08-06T20:04:08Z	#CrookedHillary is not fit to be our next president! #TrumpPence16  https://t.co/I0zJO2sZKk
Trump	2016-08-06T18:11:50Z	Heading to New Hampshire - will be talking about Hillary saying her brain SHORT CIRCUITED, and other things!
Trump	2016-08-06T14:48:14Z	"Anybody whose mind ""SHORT CIRCUITS"" is not fit to be our president! Look up the word ""BRAINWASHED."""
Trump	2016-08-06T14:24:43Z	"Crooked Hillary said loudly, and for the world to see, that she ""SHORT CIRCUITED"" when answering a question on her e-mails. Very dangerous!"
Trump	2016-08-06T11:53:00Z	Hillary Clinton is being badly criticized for her poor performance in answering questions. Let us all see what happens!
Staff	2016-08-06T03:59:08Z	Good luck #TeamUSA #OpeningCeremony #Rio2016 https://t.co/mS8qsQpJPh
Staff	2016-08-06T02:57:11Z	'Trump is right about violent crime: It’s on the rise in major cities' https://t.co/XbnZ5vktGk
